art,t,bpm,g,ln,s
DJ Genericname,Dango Dango Drum and Bass,178,3,3,64636
Imperial Circus Dead Decadence,Uta,205,4,3,457332
Demetori,Seijouki no Pierrot ~ The MadPiero Laughs,191,2,5,1272026
sakuzyo,Scattered Rose,180,2,5,319300
YOASOBI,Kaibutsu (TV Size),170,3,3,1331956
Station Earth,Cold Green Eyes ft. Roos Denayer,174,10,2,371128
Yasuda Rei,Passcode 4854 -TV edit-,140,3,3,481845
blue drops,Heart no Kakuritsu (TV Size),157,3,3,60524
Kenshi Yonezu,Peace Sign (TV edit.),200,3,3,594429
Rory Doggett,Home Depot TV Theme Song,120,7,5,1136610
Goose house,Hikaru nara -TV size-,160,3,3,223871
TheFatRat ft. Laura Brehm,MAYDAY (Nightcore Mix),172.5,10,2,754219
bj.HaLo,Ende,200,2,5,188401
RYO,Shuffle Heaven,190,2,5,85802
Vickeblanka,Black Rover (TV Size),204,3,3,781509
Ryu*,China Express,171,2,5,731247
TrySail,Honto da yo (Cut Ver.),175,5,3,1164152
Suzuki Konomi 'n Kiba of Akiba,Watashi ga Motenai no wa Dou Kangaete mo Omaera ga Warui!,200,3,3,109373
nanobii,HYPERDRIVE,174,2,5,639991
MAKOOTO,Tanukichi no Bouken,132,10,5,1357570
"Hikasa Youko, Uchida Maaya, Taketatsu Ayana, Akesaka Satomi",Gokujo. no Jouken (TV Size),180.2,3,3,953015
Mrs. GREEN APPLE,Inferno (TV Size),185,3,3,1001316
u's,Korekara no Someday,240,3,3,288268
Sharlo,Songs Compilation,90,6,3,430981
Victorious Cast,Take a Hint feat. Victoria Justice & Elizabeth Gillies (Speed Up Ver.),164.08,5,2,984684
Yousei Teikoku,Kokou no Sousei,240,6,3,28705
Simon Curtis,Super Psycho Love,110,5,2,44132
Hasegawa Daisuke,Uragirimono no Requiem (TV Size),168,3,3,940726
supercell,Kimi no Shiranai Monogatari -TV Edit-,165,3,3,342896
Lime,8bit Voyager,182,10,5,1340010
C-Show,On the FM,200,2,5,609679
DEAN FUJIOKA,History Maker,67,3,2,536049
Jin,Outer Science,195,10,3,122376
ChouCho,Haiiro no Saga (TV Size),184,5,3,1318691
Ling tosite sigure,abnormalize (TV Size),175,3,3,867930
MegaDriver,Bluer Than Metal,200,2,5,3295
FLOWxGRANRODEO,7 -seven- -TV SIZE -,170,3,3,282345
kors k,Insane Techniques,146,2,5,138188
VINXIS,Greetings,200,10,2,815162
Roselia,This game,147,2,3,749557
REDALiCE,Bad Apple!!,170,2,3,10353
Little Glee Monster,"Dakara, Hitori ja Nai -TV Size-",180,3,3,631624
Stigmata,September,96,4,12,360357
xi,Titania,212,2,5,1278046
sphere,HIGH POWERED (TV Size),187,3,3,1411668
IOSYS,Miracle Hinacle (Cut Ver.),160,2,3,1502676
+Plus,Fiesta,140,3,3,81557
Mastermind (xi+nora2r),Dreadnought,192,10,5,1393933
xi,Blue Zenith,200,10,5,292301
MYUKKE.,The 89's Momentum,128,2,5,1340492
Amatsuki,Outer Science,195,10,3,134767
Tominaga Tommy Hiroaki,JoJo ~Sono Chi no Sadame~,146,3,3,713688
Hatsune Miku,NEVERLAND,190,4,3,19868
